# tiempo,amplitud
14208.9,890.0
14214.6,890.0
14220.3,890.0
14226.0,890.0
14231.7,890.0
14237.4,889.0
14243.1,889.0
14248.8,887.0
14254.6,885.0
14260.3,884.0
14266.0,882.0
14271.7,883.0
14277.4,883.0
14283.1,884.0
14288.8,884.0
14294.5,884.0
14300.2,885.0
14305.9,886.0
14311.6,886.0
14317.3,883.0
14323.0,883.0
14328.7,884.0
14334.4,885.0
14340.2,887.0
14345.9,889.0
14351.6,890.0
14357.3,889.0
14363.0,890.0
14368.7,888.0
14374.4,890.0
14380.1,890.0
14385.8,890.0
14391.5,896.0
14397.2,897.0
14402.9,898.0
14408.6,898.0
14414.3,898.0
14420.0,901.0
14425.8,899.0
14431.5,901.0
14437.2,902.0
14442.9,903.0
14448.6,901.0
14454.3,902.0
14460.0,907.0
14465.7,906.0
14471.4,907.0
14477.1,907.0
14482.8,903.0
14488.5,901.0
14494.2,901.0
14499.9,901.0
14505.6,898.0
14511.4,897.0
14517.1,897.0
14522.8,896.0
14528.5,895.0
14534.2,896.0
14539.9,895.0
14545.6,894.0
14551.3,893.0
14557.0,893.0
14562.7,894.0
14568.4,896.0
14574.1,896.0
14579.8,897.0
14585.5,898.0
14591.2,899.0
14597.0,899.0
14602.7,899.0
14608.4,899.0
14614.1,900.0
14619.8,899.0
14625.5,899.0
14631.2,900.0
14636.9,899.0
14642.6,899.0
14648.3,899.0
14654.0,899.0
14659.7,899.0
14665.4,895.0
14671.1,895.0
14676.8,894.0
14682.6,894.0
14688.3,895.0
14694.0,896.0
14699.7,895.0
14705.4,895.0
14711.1,894.0
14716.8,892.0
14722.5,892.0
14728.2,893.0
14733.9,892.0
14739.6,890.0
14745.3,890.0
14751.0,890.0
14756.7,890.0
14762.4,888.0
14768.2,887.0
14773.9,885.0
